key=the   value=MapReduceAssignment/test1:2381, MapReduceAssignment/test2:4476, MapReduceAssignment/test3:15830
key=of   value=MapReduceAssignment/test1:921, MapReduceAssignment/test2:1674, MapReduceAssignment/test3:9448
key=jose   value=MapReduceAssignment/test1:5
key=this   value=MapReduceAssignment/test1:329, MapReduceAssignment/test2:350, MapReduceAssignment/test3:728
key=anyone   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:6, MapReduceAssignment/test3:4
key=cost   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:6, MapReduceAssignment/test3:6
key=restrictions   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:2, MapReduceAssignment/test3:3
key=copy   value=MapReduceAssignment/test1:8, MapReduceAssignment/test2:12, MapReduceAssignment/test3:16
key=away   value=MapReduceAssignment/test1:16, MapReduceAssignment/test2:49, MapReduceAssignment/test3:72
key=terms   value=MapReduceAssignment/test1:21, MapReduceAssignment/test2:21, MapReduceAssignment/test3:32
key=www.gutenberg.org   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:4
key=release   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:2, MapReduceAssignment/test3:2
key=2010   value=MapReduceAssignment/test1:1
key=english   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:8, MapReduceAssignment/test3:57
key=ascii   value=MapReduceAssignment/test1:1
key=suzanne   value=MapReduceAssignment/test1:4
key=srna   value=MapReduceAssignment/test1:2
key=proofreading   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:2, MapReduceAssignment/test3:2
key=r.   value=MapReduceAssignment/test1:38, MapReduceAssignment/test3:7
key=world_   value=MapReduceAssignment/test1:1
key=brace   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1, MapReduceAssignment/test3:2
key=london:   value=MapReduceAssignment/test1:1
key=ltd   value=MapReduceAssignment/test1:1
key=(c)   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1, MapReduceAssignment/test3:1
key=rights   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1, MapReduceAssignment/test3:8
key=be   value=MapReduceAssignment/test1:362, MapReduceAssignment/test2:345, MapReduceAssignment/test3:949
key=any   value=MapReduceAssignment/test1:88, MapReduceAssignment/test2:81, MapReduceAssignment/test3:485
key=mechanical   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:2
key=information   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:8, MapReduceAssignment/test3:11
key=without   value=MapReduceAssignment/test1:39, MapReduceAssignment/test2:54, MapReduceAssignment/test3:177
key=publisher._   value=MapReduceAssignment/test1:1
key=united   value=MapReduceAssignment/test1:11, MapReduceAssignment/test2:11, MapReduceAssignment/test3:121
key=fundamentals_   value=MapReduceAssignment/test1:3
key=thirteen   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:1, MapReduceAssignment/test3:4
key=then   value=MapReduceAssignment/test1:71, MapReduceAssignment/test2:63, MapReduceAssignment/test3:338
key=different   value=MapReduceAssignment/test1:12, MapReduceAssignment/test2:6, MapReduceAssignment/test3:75
key=articles   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1, MapReduceAssignment/test3:5
key=theory.   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:1
key=well   value=MapReduceAssignment/test1:28, MapReduceAssignment/test2:42, MapReduceAssignment/test3:182
key=new,   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1, MapReduceAssignment/test3:15
key=been   value=MapReduceAssignment/test1:74, MapReduceAssignment/test2:126, MapReduceAssignment/test3:419
key=merely   value=MapReduceAssignment/test1:11, MapReduceAssignment/test2:4, MapReduceAssignment/test3:41
key=stages   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:11
key=principles   value=MapReduceAssignment/test1:19, MapReduceAssignment/test3:8
key=tactics.   value=MapReduceAssignment/test1:2
key=only   value=MapReduceAssignment/test1:82, MapReduceAssignment/test2:61, MapReduceAssignment/test3:383
key=best   value=MapReduceAssignment/test1:55, MapReduceAssignment/test2:22, MapReduceAssignment/test3:176
key=fundamental   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:2
key=as   value=MapReduceAssignment/test1:266, MapReduceAssignment/test2:545, MapReduceAssignment/test3:1827
key=hundred   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:27, MapReduceAssignment/test3:91
key=rules   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:2, MapReduceAssignment/test3:14
key=they   value=MapReduceAssignment/test1:29, MapReduceAssignment/test2:303, MapReduceAssignment/test3:594
key=go   value=MapReduceAssignment/test1:28, MapReduceAssignment/test2:54, MapReduceAssignment/test3:108
key=assurance   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:2, MapReduceAssignment/test3:1
key=nothing   value=MapReduceAssignment/test1:27, MapReduceAssignment/test2:29, MapReduceAssignment/test3:123
key=one   value=MapReduceAssignment/test1:117, MapReduceAssignment/test2:177, MapReduceAssignment/test3:722
key=kind   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:7, MapReduceAssignment/test3:56
key=believes   value=MapReduceAssignment/test1:1
key=_sept.   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:9
key=i   value=MapReduceAssignment/test1:144, MapReduceAssignment/test2:1025, MapReduceAssignment/test3:2536
key=middle-game   value=MapReduceAssignment/test1:17
key=some   value=MapReduceAssignment/test1:49, MapReduceAssignment/test2:78, MapReduceAssignment/test3:613
key=2.   value=MapReduceAssignment/test1:84, MapReduceAssignment/test2:1, MapReduceAssignment/test3:2
key=3.   value=MapReduceAssignment/test1:96, MapReduceAssignment/test2:1, MapReduceAssignment/test3:2
key=winning   value=MapReduceAssignment/test1:39, MapReduceAssignment/test2:1, MapReduceAssignment/test3:1
key=relative   value=MapReduceAssignment/test1:8, MapReduceAssignment/test3:8
key=6.   value=MapReduceAssignment/test1:52, MapReduceAssignment/test3:1
key=7.   value=MapReduceAssignment/test1:55
key=8.   value=MapReduceAssignment/test1:50
key=further   value=MapReduceAssignment/test1:15, MapReduceAssignment/test2:7, MapReduceAssignment/test3:29
key=cardinal   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:1
key=classical   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:1
key=obtaining   value=MapReduceAssignment/test1:14, MapReduceAssignment/test2:2, MapReduceAssignment/test3:2
key=how   value=MapReduceAssignment/test1:36, MapReduceAssignment/test2:69, MapReduceAssignment/test3:195
