key=the   value=MapReduceAssignment/test1:2381, MapReduceAssignment/test3:15830, MapReduceAssignment/test2:4476
key=ebook   value=MapReduceAssignment/test1:8, MapReduceAssignment/test3:9, MapReduceAssignment/test2:9
key=fundamentals,   value=MapReduceAssignment/test1:2
key=raul   value=MapReduceAssignment/test1:3
key=this   value=MapReduceAssignment/test1:329, MapReduceAssignment/test3:728, MapReduceAssignment/test2:350
key=use   value=MapReduceAssignment/test1:16, MapReduceAssignment/test3:43, MapReduceAssignment/test2:24
key=at   value=MapReduceAssignment/test1:243, MapReduceAssignment/test3:1195, MapReduceAssignment/test2:501
key=and   value=MapReduceAssignment/test1:738, MapReduceAssignment/test3:11146, MapReduceAssignment/test2:2415
key=restrictions   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:3, MapReduceAssignment/test2:2
key=may   value=MapReduceAssignment/test1:55, MapReduceAssignment/test3:241, MapReduceAssignment/test2:81
key=give   value=MapReduceAssignment/test1:39, MapReduceAssignment/test3:142, MapReduceAssignment/test2:46
key=or   value=MapReduceAssignment/test1:207, MapReduceAssignment/test3:2333, MapReduceAssignment/test2:260
key=terms   value=MapReduceAssignment/test1:21, MapReduceAssignment/test3:32, MapReduceAssignment/test2:21
key=online   value=MapReduceAssignment/test1:6, MapReduceAssignment/test3:6, MapReduceAssignment/test2:6
key=fundamentals   value=MapReduceAssignment/test1:5
key=date:   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:1, MapReduceAssignment/test2:1
key=2010   value=MapReduceAssignment/test1:1
key=language:   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:1, MapReduceAssignment/test2:1
key=set   value=MapReduceAssignment/test1:11, MapReduceAssignment/test3:58, MapReduceAssignment/test2:46
key=***   value=MapReduceAssignment/test1:6, MapReduceAssignment/test3:6, MapReduceAssignment/test2:6
key=suzanne   value=MapReduceAssignment/test1:4
key=jana   value=MapReduceAssignment/test1:2
key=edkins   value=MapReduceAssignment/test1:2
key=team   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:5, MapReduceAssignment/test2:2
key=r.   value=MapReduceAssignment/test1:38, MapReduceAssignment/test3:7
key=champion   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:1
key=york   value=MapReduceAssignment/test1:4, MapReduceAssignment/test3:109
key=&   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:5, MapReduceAssignment/test2:1
key=london:   value=MapReduceAssignment/test1:1
key=sons,   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:9, MapReduceAssignment/test2:1
key=copyright,   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1
key=1949   value=MapReduceAssignment/test1:1
key=rights   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:8, MapReduceAssignment/test2:1
key=publication   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:2, MapReduceAssignment/test2:1
key=transmitted   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:3
key=form   value=MapReduceAssignment/test1:15, MapReduceAssignment/test3:43, MapReduceAssignment/test2:5
key=mechanical   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:2
key=recording,   value=MapReduceAssignment/test1:1
