key=the   value=MapReduceAssignment/test1:2381, MapReduceAssignment/test2:4476
key=gutenberg   value=MapReduceAssignment/test1:23, MapReduceAssignment/test2:24
key=of   value=MapReduceAssignment/test1:921, MapReduceAssignment/test2:1674
key=fundamentals,   value=MapReduceAssignment/test1:2
key=jose   value=MapReduceAssignment/test1:5
key=capablanca   value=MapReduceAssignment/test1:24
key=this   value=MapReduceAssignment/test1:329, MapReduceAssignment/test2:350
key=for   value=MapReduceAssignment/test1:205, MapReduceAssignment/test2:689
key=anyone   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:6
key=at   value=MapReduceAssignment/test1:243, MapReduceAssignment/test2:501
key=cost   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:6
key=with   value=MapReduceAssignment/test1:263, MapReduceAssignment/test2:715
key=restrictions   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:2
key=you   value=MapReduceAssignment/test1:77, MapReduceAssignment/test2:668
key=copy   value=MapReduceAssignment/test1:8, MapReduceAssignment/test2:12
key=give   value=MapReduceAssignment/test1:39, MapReduceAssignment/test2:46
key=away   value=MapReduceAssignment/test1:16, MapReduceAssignment/test2:49
key=re-use   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:2
key=terms   value=MapReduceAssignment/test1:21, MapReduceAssignment/test2:21
key=included   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:3
key=www.gutenberg.org   value=MapReduceAssignment/test1:2
key=fundamentals   value=MapReduceAssignment/test1:5
key=release   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:2
key=october   value=MapReduceAssignment/test1:1
key=2010   value=MapReduceAssignment/test1:1
key=#33870]   value=MapReduceAssignment/test1:1
key=english   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:8
key=set   value=MapReduceAssignment/test1:11, MapReduceAssignment/test2:46
key=ascii   value=MapReduceAssignment/test1:1
key=start   value=MapReduceAssignment/test1:5, MapReduceAssignment/test2:14
key=suzanne   value=MapReduceAssignment/test1:4
key=shell,   value=MapReduceAssignment/test1:2
key=srna   value=MapReduceAssignment/test1:2
key=edkins   value=MapReduceAssignment/test1:2
key=proofreading   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:2
key=http://www.pgdp.net   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:2
key=r.   value=MapReduceAssignment/test1:38
key=_chess   value=MapReduceAssignment/test1:4
key=world_   value=MapReduceAssignment/test1:1
key=york   value=MapReduceAssignment/test1:4
key=brace   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1
key=world,   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:2
key=london:   value=MapReduceAssignment/test1:1
key=bell   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:7
key=ltd   value=MapReduceAssignment/test1:1
key=copyright,   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1
key=(c)   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1
key=olga   value=MapReduceAssignment/test1:1
key=rights   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1
key=part   value=MapReduceAssignment/test1:30, MapReduceAssignment/test2:17
key=be   value=MapReduceAssignment/test1:362, MapReduceAssignment/test2:345
key=transmitted   value=MapReduceAssignment/test1:1
key=any   value=MapReduceAssignment/test1:88, MapReduceAssignment/test2:81
key=means,   value=MapReduceAssignment/test1:1
key=mechanical   value=MapReduceAssignment/test1:1
key=photocopy,   value=MapReduceAssignment/test1:1
key=information   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:8
key=retrieval   value=MapReduceAssignment/test1:1
key=without   value=MapReduceAssignment/test1:39, MapReduceAssignment/test2:54
key=writing   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:5
key=publisher._   value=MapReduceAssignment/test1:1
key=printing_   value=MapReduceAssignment/test1:1
key=united   value=MapReduceAssignment/test1:11, MapReduceAssignment/test2:11
key=america   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1
key=fundamentals_   value=MapReduceAssignment/test1:3
key=first   value=MapReduceAssignment/test1:38, MapReduceAssignment/test2:62
key=thirteen   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:1
key=ago.   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1
key=then   value=MapReduceAssignment/test1:71, MapReduceAssignment/test2:63
key=have   value=MapReduceAssignment/test1:211, MapReduceAssignment/test2:253
key=different   value=MapReduceAssignment/test1:12, MapReduceAssignment/test2:6
key=a   value=MapReduceAssignment/test1:630, MapReduceAssignment/test2:2101
key=articles   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1
key=so-called   value=MapReduceAssignment/test1:3
key=theory.   value=MapReduceAssignment/test1:1
key=who   value=MapReduceAssignment/test1:16, MapReduceAssignment/test2:109
key=well   value=MapReduceAssignment/test1:28, MapReduceAssignment/test2:42
key=that   value=MapReduceAssignment/test1:319, MapReduceAssignment/test2:631
key=new,   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1
key=importance,   value=MapReduceAssignment/test1:3
key=been   value=MapReduceAssignment/test1:74, MapReduceAssignment/test2:126
key=fact   value=MapReduceAssignment/test1:24, MapReduceAssignment/test2:3
key=merely   value=MapReduceAssignment/test1:11, MapReduceAssignment/test2:4
key=during   value=MapReduceAssignment/test1:5, MapReduceAssignment/test2:8
